Image,ObjectID,Area,Perimeter,CentroidX,CentroidY,AngleRad,Eccentricity,Circularity,Solidity,BBoxAspect,CornerCount,ConcaveCount,Label_Euclid,Label_Mahalanobis
22.png,1,14848,506,551.7858,127.6214,1.585593,0.592416,0.728747,2121.142857,1.0000,1,0,flecha,flecha
22.png,2,12361,474,208.5727,388.5134,-3.141222,0.810582,0.691364,1765.857143,1.0000,1,0,flecha,flecha
23.png,1,14848,506,551.7858,127.6214,1.585593,0.592416,0.728747,2121.142857,1.0000,1,0,flecha,flecha
23.png,2,12361,474,208.5727,388.5134,-3.141222,0.810582,0.691364,1765.857143,1.0000,1,0,flecha,flecha
23.png,3,17373,548,569.0159,450.3345,1.570222,0.716260,0.726982,2481.857143,1.0000,1,0,flecha,flecha
24.png,1,14848,506,551.7858,127.6214,1.585593,0.592416,0.728747,2121.142857,1.0000,1,0,flecha,flecha
24.png,2,32303,745,930.7685,367.1250,1.563644,0.693105,0.731375,4614.714286,1.0000,1,0,flecha,flecha
24.png,3,12361,474,208.5727,388.5134,-3.141222,0.810582,0.691364,1765.857143,1.0000,1,0,flecha,flecha
24.png,4,17373,548,569.0159,450.3345,1.570222,0.716260,0.726982,2481.857143,1.0000,1,0,flecha,flecha
25.png,1,14848,506,551.7858,127.6214,1.585593,0.592416,0.728747,2121.142857,1.0000,1,0,flecha,flecha
25.png,2,14681,530,278.9960,166.7830,3.135599,0.842096,0.656771,2097.285714,1.0000,1,0,flecha,flecha
25.png,3,32303,745,930.7685,367.1250,1.563644,0.693105,0.731375,4614.714286,1.0000,1,0,flecha,flecha
25.png,4,12361,474,208.5727,388.5134,-3.141222,0.810582,0.691364,1765.857143,1.0000,1,0,flecha,flecha
25.png,5,17373,548,569.0159,450.3345,1.570222,0.716260,0.726982,2481.857143,1.0000,1,0,flecha,flecha
26.png,1,33394,758,755.5304,193.2433,3.134189,0.674381,0.730365,4770.571429,1.0000,1,0,flecha,flecha
26.png,2,30989,735,391.6580,234.5083,1.584156,0.499783,0.720846,4427.000000,1.0000,1,0,estrella,flecha
26.png,3,20599,456,906.5413,461.5378,1.013146,0.024504,1.244877,2942.714286,1.0000,1,0,circulo,circulo
26.png,4,26896,652,386.5000,469.5000,0.000000,0.000000,0.795065,1.012308,1.0000,1,0,circulo,estrella
27.png,1,10071,414,860.0000,150.1803,1.570796,0.499096,0.738383,1438.714286,1.0000,1,0,flecha,flecha
27.png,2,32761,720,272.0000,175.0000,0.000000,0.000000,0.794149,1.011142,1.0000,1,0,circulo,estrella
27.png,3,23068,875,581.5325,337.0157,1.583523,0.321231,0.378620,3295.428571,1.0000,1,0,estrella,estrella
27.png,4,9844,316,891.5221,438.5611,1.566533,0.260860,1.238817,1406.285714,1.0000,1,0,circulo,circulo
28.png,1,10226,572,801.0298,123.4445,1.565569,0.320539,0.392757,1460.857143,1.0000,1,0,flecha,estrella
28.png,2,15843,400,179.5453,143.5404,-2.666719,0.016919,1.244306,2263.285714,1.0000,1,0,circulo,circulo
28.png,3,21941,855,555.5206,312.8326,1.588761,0.317112,0.377167,3134.428571,1.0000,1,0,estrella,estrella
